n;k;java;sequential;parallel
1000;100;1.4929;1.2051;3.8395
1000;100;0.8099;0.4857;1.383
1000;100;0.7673;0.4019;1.1915
1000;100;0.6224;0.348;1.5772
1000;100;0.4464;0.3413;1.429
1000;100;0.3842;0.3769;2.5977
1000;100;0.5192;0.1068;0.8018
10000;100;3.3901;0.0883;3.2823
10000;100;2.0572;0.0937;3.0767
10000;100;2.4299;0.0878;3.1985
10000;100;2.1688;0.1165;2.9664
10000;100;2.7555;0.1175;4.0928
10000;100;3.8915;0.124;2.7159
10000;100;5.0796;0.1009;3.7893
100000;100;97.7697;0.2587;3.4833
100000;100;62.5951;0.2212;2.4837
100000;100;72.6554;0.1624;1.0635
100000;100;44.0229;0.1862;0.7811
100000;100;26.3612;0.1508;0.6337
100000;100;15.8266;0.1487;0.7096
100000;100;17.0513;0.2237;0.8674
1000000;100;262.0244;0.9529;1.0778
1000000;100;220.1657;0.8615;2.0847
1000000;100;216.4105;0.8614;1.5583
1000000;100;221.3213;0.9199;2.0729
1000000;100;216.2112;0.8482;1.5105
1000000;100;215.2848;0.8539;1.619
1000000;100;209.7722;0.8472;27.4785
10000000;100;3657.117;7.7711;2.9842
10000000;100;3842.5563;7.8617;2.9126
10000000;100;3640.3977;8.8537;180.7043
10000000;100;3669.2078;9.0115;3.0599
10000000;100;3693.0103;8.1203;2.6297
10000000;100;3703.2943;8.1783;2.9055
10000000;100;3728.8713;8.2049;3.1366
100000000;100;52096.7145;103.9078;20.7393
100000000;100;52315.7308;112.5016;20.5325
100000000;100;51941.3452;83.6401;16.1097
100000000;100;54813.9862;107.8504;20.8192
100000000;100;53040.8526;95.3164;18.4765
100000000;100;51581.9905;83.7635;15.7456
100000000;100;51443.4214;93.1805;20.423
1000;20;1.7505;1.5496;4.6321
1000;20;0.6935;0.0576;0.6608
1000;20;0.5592;0.0405;0.638
1000;20;0.6513;0.0402;0.663
1000;20;0.5037;0.0409;0.68
1000;20;0.3901;0.0409;2.1714
1000;20;0.3205;0.0402;0.6516
10000;20;3.9126;0.2315;1.0973
10000;20;2.5399;0.2295;0.8322
10000;20;2.6609;0.1962;0.8587
10000;20;2.0207;0.1821;0.9536
10000;20;3.1657;0.2814;1.1815
10000;20;3.2292;0.0501;0.7667
10000;20;2.821;0.0301;0.797
100000;20;55.6603;0.4259;2.9543
100000;20;95.8246;0.1701;1.9979
100000;20;53.9495;0.1907;1.9242
100000;20;64.1564;0.1812;0.7542
100000;20;37.7106;0.1778;0.7039
100000;20;16.0446;0.1484;2.9161
100000;20;23.8319;0.1713;0.9302
1000000;20;287.6761;1.0867;1.0542
1000000;20;252.8262;1.1455;1.081
1000000;20;265.2196;0.876;1.3611
1000000;20;231.2835;0.8696;24.7142
1000000;20;277.7809;0.786;1.9452
1000000;20;234.276;0.8347;1.9659
1000000;20;224.7289;0.7952;1.6329
10000000;20;3776.8388;7.8568;2.6939
10000000;20;3919.5847;8.4165;169.8633
10000000;20;3904.9723;7.9279;2.9814
10000000;20;3815.6773;8.3993;2.8008
10000000;20;3847.2283;8.2839;275.4625
10000000;20;3837.7103;8.6525;2.8679
10000000;20;3885.128;8.1876;2.8904
100000000;20;53515.1321;108.9441;19.3554
100000000;20;57619.5952;145.3262;27.9474
100000000;20;54456.5785;107.7797;19.0745
100000000;20;51782.1643;109.2538;19.5618
100000000;20;54540.5019;155.1134;1922.2454
100000000;20;55678.0674;114.9929;18.8967
100000000;20;53278.2233;96.1937;18.5788
